stateProvince,ncity
AK,1585
AL,9368
AR,5985
AS,5
AZ,18333
CA,98839
CO,19625
CT,9161
DC,5872
DE,2917
FL,48904
GA,27637
GU,84
HI,2634
IA,8902
ID,3388
IL,36330
IN,19421
KS,7870
KY,10298
LA,7913
MA,24655
MD,18402
ME,3405
MI,24647
MN,19577
MO,16284
MP,8
MS,4503
MT,2177
NC,27078
ND,2052
NE,5148
NH,4619
NJ,23038
NM,4780
NV,6786
NY,46295
OH,32721
OK,8305
OR,10845
PA,37060
PR,514
RI,2755
SC,12881
SD,2207
TN,17011
TX,68774
UM,1
UNKNOWN,5482
UT,8191
VA,28577
VI,47
VT,1677
WA,20855
WI,17232
WV,3654
WY,1253
